Ticker,date,value,volume
NasdaqGS:INTC,9/7/2012,24.19,86.28948
NasdaqGS:INTC,9/10/2012,23.26,80.5846
NasdaqGS:INTC,9/11/2012,23.34,54.24119
NasdaqGS:INTC,9/12/2012,23.19,44.87248
NasdaqGS:INTC,9/13/2012,23.355,52.99825
NasdaqGS:INTC,9/14/2012,23.37,47.98787
NasdaqGS:INTC,9/17/2012,23.31,36.16987
NasdaqGS:INTC,9/18/2012,23.37,41.95314
NasdaqGS:INTC,9/19/2012,23.15,39.45974
NasdaqGS:INTC,9/20/2012,23.1788,33.08372
NasdaqGS:INTC,9/21/2012,23.125,56.24907
NasdaqGS:INTC,9/24/2012,22.795,48.84853
NasdaqGS:INTC,9/25/2012,22.535,49.53506
NasdaqGS:INTC,9/26/2012,22.645,49.73462
NasdaqGS:INTC,9/27/2012,23.085,43.88065
NasdaqGS:INTC,9/28/2012,22.655,47.92654
NasdaqGS:INTC,10/1/2012,22.755,55.26605
NasdaqGS:INTC,10/2/2012,22.84,36.38934
NasdaqGS:INTC,10/3/2012,22.55,49.77959
NasdaqGS:INTC,10/4/2012,22.465,52.98231
NasdaqGS:INTC,10/5/2012,22.68,38.34836
NasdaqGS:INTC,10/8/2012,22.51,29.70808
NasdaqGS:INTC,10/9/2012,21.9,66.31734
NasdaqGS:INTC,10/10/2012,21.76,47.18881
NasdaqGS:INTC,10/11/2012,21.68,36.81745
NasdaqGS:INTC,10/12/2012,21.4803,46.27794
NasdaqGS:INTC,10/15/2012,21.73,49.51376
NasdaqGS:INTC,10/16/2012,22.35,80.70692
NasdaqGS:INTC,10/17/2012,21.79,99.06199
NasdaqGS:INTC,10/18/2012,21.67,42.92698
NasdaqGS:INTC,10/19/2012,21.265,55.62222
NasdaqGS:INTC,10/22/2012,21.46,36.50178
NasdaqGS:INTC,10/23/2012,21.59,47.20223
NasdaqGS:INTC,10/24/2012,21.46,33.23775
NasdaqGS:INTC,10/25/2012,21.69,79.2342
NasdaqGS:INTC,10/26/2012,21.95,92.41742
NasdaqGS:INTC,10/31/2012,21.63,40.618
NasdaqGS:INTC,11/1/2012,22.26,50.36422
NasdaqGS:INTC,11/2/2012,22.06,51.73756
NasdaqGS:INTC,11/5/2012,21.8391,48.79737
NasdaqGS:INTC,11/6/2012,21.73,49.86293
NasdaqGS:INTC,11/7/2012,20.91,70.9601
NasdaqGS:INTC,11/8/2012,20.83,38.08992
NasdaqGS:INTC,11/9/2012,20.8,35.02148
NasdaqGS:INTC,11/12/2012,20.765,27.26745
NasdaqGS:INTC,11/13/2012,20.28,56.37919
NasdaqGS:INTC,11/14/2012,19.96,58.96121
NasdaqGS:INTC,11/15/2012,20.03,45.74003
NasdaqGS:INTC,11/16/2012,20.19,50.86012
NasdaqGS:INTC,11/19/2012,20.25,69.43379
NasdaqGS:INTC,11/20/2012,19.5132,85.74329
NasdaqGS:INTC,11/21/2012,19.36,95.63599
NasdaqGS:INTC,11/23/2012,19.72,51.7114
NasdaqGS:INTC,11/26/2012,19.885,67.04783
NasdaqGS:INTC,11/27/2012,19.93,44.89811
NasdaqGS:INTC,11/28/2012,20.09,43.22621
NasdaqGS:INTC,11/29/2012,19.53,64.92894
NasdaqGS:INTC,11/30/2012,19.565,51.43751
NasdaqGS:INTC,12/3/2012,19.54,50.6369
NasdaqGS:INTC,12/4/2012,19.9694,57.94569
NasdaqGS:INTC,12/5/2012,19.85,45.85555
NasdaqGS:INTC,12/6/2012,20.16,46.29115
NasdaqGS:INTC,12/7/2012,20.155,41.70465
NasdaqGS:INTC,12/10/2012,20.08,27.2785
NasdaqGS:INTC,12/11/2012,20.65,51.0398
NasdaqGS:INTC,12/12/2012,20.67,48.35787
NasdaqGS:INTC,12/13/2012,20.49,41.6139
NasdaqGS:INTC,12/14/2012,20.5267,34.15387
NasdaqGS:INTC,12/17/2012,20.57,34.96774
NasdaqGS:INTC,12/18/2012,20.96,41.60635
NasdaqGS:INTC,12/19/2012,21.1,52.80657
NasdaqGS:INTC,12/20/2012,21.0293,34.0149
NasdaqGS:INTC,12/21/2012,20.765,62.00228
NasdaqGS:INTC,12/24/2012,20.64,14.20079
NasdaqGS:INTC,12/26/2012,20.65,22.49418
NasdaqGS:INTC,12/27/2012,20.51,31.71223
NasdaqGS:INTC,12/28/2012,20.23,25.90682
NasdaqGS:INTC,12/31/2012,20.62,41.1484
NasdaqGS:INTC,1/2/2013,21.38,47.62971
NasdaqGS:INTC,1/3/2013,21.32,41.06028
NasdaqGS:INTC,1/4/2013,21.16,30.14972
NasdaqGS:INTC,1/7/2013,21.25,36.35589
NasdaqGS:INTC,1/8/2013,21.09,48.67673
NasdaqGS:INTC,1/9/2013,21.45,34.29511
NasdaqGS:INTC,1/10/2013,21.8,44.62967
NasdaqGS:INTC,1/11/2013,22,44.94578
NasdaqGS:INTC,1/14/2013,21.999,35.72449
NasdaqGS:INTC,1/15/2013,21.88,33.99846
NasdaqGS:INTC,1/16/2013,22.11,36.76831
NasdaqGS:INTC,1/17/2013,22.68,101.0196
NasdaqGS:INTC,1/18/2013,21.25,143.76
NasdaqGS:INTC,1/22/2013,21.17,51.12677
NasdaqGS:INTC,1/23/2013,21.11,42.43224
NasdaqGS:INTC,1/24/2013,20.95,58.4054
NasdaqGS:INTC,1/25/2013,20.96,107.6337
NasdaqGS:INTC,1/28/2013,21.05,105.4034
NasdaqGS:INTC,1/29/2013,21.28,105.706
NasdaqGS:INTC,1/30/2013,21.37,34.15346
NasdaqGS:INTC,1/31/2013,21.04,36.53407
NasdaqGS:INTC,2/1/2013,21.355,31.87259
NasdaqGS:INTC,2/4/2013,21.16,38.34556
NasdaqGS:INTC,2/5/2013,21.1784,30.08074
NasdaqGS:INTC,2/6/2013,20.99,32.36707
NasdaqGS:INTC,2/7/2013,20.81,41.01968
NasdaqGS:INTC,2/8/2013,21,28.15532
NasdaqGS:INTC,2/11/2013,21.03,18.90163
NasdaqGS:INTC,2/12/2013,21.19,28.39352
NasdaqGS:INTC,2/13/2013,21.25,21.27246
NasdaqGS:INTC,2/14/2013,21.23,35.26302
NasdaqGS:INTC,2/15/2013,21.115,33.81162
NasdaqGS:INTC,2/19/2013,21.085,31.07376
NasdaqGS:INTC,2/20/2013,20.73,46.11974
NasdaqGS:INTC,2/21/2013,20.25,60.75449
NasdaqGS:INTC,2/22/2013,20.42,34.53768
NasdaqGS:INTC,2/25/2013,20.23,41.52554
NasdaqGS:INTC,2/26/2013,20.58,67.2486
NasdaqGS:INTC,2/27/2013,20.93,46.97024
NasdaqGS:INTC,2/28/2013,20.88,34.81113
NasdaqGS:INTC,3/1/2013,21.03,45.69918
NasdaqGS:INTC,3/4/2013,21.27,47.55403
NasdaqGS:INTC,3/5/2013,21.51,38.80102
NasdaqGS:INTC,3/6/2013,21.75,37.19064
NasdaqGS:INTC,3/7/2013,21.89,42.37993
NasdaqGS:INTC,3/8/2013,21.58,44.99795
NasdaqGS:INTC,3/11/2013,21.69,42.15198
NasdaqGS:INTC,3/12/2013,21.64,28.61868
NasdaqGS:INTC,3/13/2013,21.655,24.61782
NasdaqGS:INTC,3/14/2013,21.65,28.83785
NasdaqGS:INTC,3/15/2013,21.375,52.955
NasdaqGS:INTC,3/18/2013,21.26,35.18825
NasdaqGS:INTC,3/19/2013,21.14,42.54939
NasdaqGS:INTC,3/20/2013,21.18,29.91896
NasdaqGS:INTC,3/21/2013,21.04,32.60751
NasdaqGS:INTC,3/22/2013,21.33,30.80319
NasdaqGS:INTC,3/25/2013,21.15,32.74103
NasdaqGS:INTC,3/26/2013,21.765,39.55369
NasdaqGS:INTC,3/27/2013,21.83,45.37844
NasdaqGS:INTC,3/28/2013,21.835,33.3387
NasdaqGS:INTC,4/1/2013,21.43,33.72227
NasdaqGS:INTC,4/2/2013,21.455,28.16803
NasdaqGS:INTC,4/3/2013,21.05,36.62073
NasdaqGS:INTC,4/4/2013,21.135,28.70362
NasdaqGS:INTC,4/5/2013,20.94,36.72444
NasdaqGS:INTC,4/8/2013,21.09,34.21469
NasdaqGS:INTC,4/9/2013,21.75,61.52274
NasdaqGS:INTC,4/10/2013,22.26,67.10282
NasdaqGS:INTC,4/11/2013,21.825,59.29977
NasdaqGS:INTC,4/12/2013,21.675,34.03479
NasdaqGS:INTC,4/15/2013,21.38,38.45914
NasdaqGS:INTC,4/16/2013,21.915,64.76691
NasdaqGS:INTC,4/17/2013,21.93,79.46364
NasdaqGS:INTC,4/18/2013,22.24,76.23804
NasdaqGS:INTC,4/19/2013,22.44,49.10381
NasdaqGS:INTC,4/22/2013,22.88,52.8198
NasdaqGS:INTC,4/23/2013,23.375,62.49402
NasdaqGS:INTC,4/24/2013,23.66,54.28764
NasdaqGS:INTC,4/25/2013,23.38,109.1817
NasdaqGS:INTC,4/26/2013,23.4,101.3791
NasdaqGS:INTC,4/29/2013,23.76,102.1458
NasdaqGS:INTC,4/30/2013,23.95,41.47115
NasdaqGS:INTC,5/1/2013,23.99,38.37373
NasdaqGS:INTC,5/2/2013,24.11,33.49427
NasdaqGS:INTC,5/3/2013,23.96,30.08635
NasdaqGS:INTC,5/6/2013,23.91,31.00908
NasdaqGS:INTC,5/7/2013,24.15,38.60552
NasdaqGS:INTC,5/8/2013,24.25,24.90324
NasdaqGS:INTC,5/9/2013,24.36,31.33627
NasdaqGS:INTC,5/10/2013,24.5,22.55954
NasdaqGS:INTC,5/13/2013,24.08,28.53519
NasdaqGS:INTC,5/14/2013,23.84,36.69747
NasdaqGS:INTC,5/15/2013,24.2,33.5702
NasdaqGS:INTC,5/16/2013,23.94,29.81525
NasdaqGS:INTC,5/17/2013,24.04,36.27825
NasdaqGS:INTC,5/20/2013,24.08,31.32616
NasdaqGS:INTC,5/21/2013,24.15,37.91997
NasdaqGS:INTC,5/22/2013,24.07,49.68925
NasdaqGS:INTC,5/23/2013,24.05,38.13645
NasdaqGS:INTC,5/24/2013,23.923,30.86305
NasdaqGS:INTC,5/28/2013,24.08,31.15832
NasdaqGS:INTC,5/29/2013,24.27,31.65426
NasdaqGS:INTC,5/30/2013,24.21,26.30693
NasdaqGS:INTC,5/31/2013,24.28,47.79667
NasdaqGS:INTC,6/3/2013,25.24,76.49342
NasdaqGS:INTC,6/4/2013,25.36,68.52405
NasdaqGS:INTC,6/5/2013,24.7,53.34357
NasdaqGS:INTC,6/6/2013,24.65,40.02669
NasdaqGS:INTC,6/7/2013,24.59,35.54356
NasdaqGS:INTC,6/10/2013,25.01,29.78377
NasdaqGS:INTC,6/11/2013,24.71,27.07957
NasdaqGS:INTC,6/12/2013,24.46,24.53838
NasdaqGS:INTC,6/13/2013,24.99,27.70996
