date,value
"2016,4,12",65.979381443299
"2016,4,13",64.6464646464646
"2016,4,16",64.2857142857143
"2016,4,17",63.7254901960784
"2016,4,18",62.8571428571429
"2016,4,19",62.1359223300971
"2016,4,20",64.8648648648649
"2016,4,23",65.5737704918033
"2016,4,24",67.8571428571429
"2016,4,25",71.4285714285714
"2016,4,26",73.0769230769231
"2016,4,27",72
"2016,4,31",70
"2016,5,1",70
"2016,5,2",68.6274509803922
"2016,5,3",67.3469387755102
"2016,5,6",72.5490196078431
"2016,5,7",76
"2016,5,8",76
"2016,5,9",76
"2016,5,10",74.468085106383
"2016,5,13",75
"2016,5,14",73.9130434782609
"2016,5,15",76.7441860465116
"2016,5,16",80.4878048780488
"2016,5,17",80.4878048780488
"2016,5,20",84.2105263157895
"2016,5,21",86.8421052631579
"2016,5,22",86.4864864864865
"2016,5,23",87.1794871794872
"2016,5,24",86.8421052631579
"2016,5,27",86.4864864864865
"2016,5,28",84.8484848484848
"2016,5,29",81.4814814814815
"2016,5,30",81.4814814814815
"2016,6,1",84.375
"2016,6,5",80.6451612903226
"2016,6,6",84.375
"2016,6,7",83.8709677419355
"2016,6,8",80
"2016,6,11",76.6666666666667
"2016,6,12",79.4117647058823
"2016,6,13",80.5555555555556
"2016,6,14",81.0810810810811
"2016,6,15",80
"2016,6,18",81.8181818181818
"2016,6,19",82.6086956521739
"2016,6,20",77.9411764705882
"2016,6,21",76
"2016,6,22",74.6835443037975
"2016,6,25",75
"2016,6,26",77.2151898734177
"2016,6,27",76.6233766233766
"2016,6,28",76.9230769230769
"2016,6,29",77.5
"2016,7,1",77.1084337349398
"2016,7,2",77.1084337349398
"2016,7,3",76.4705882352941
"2016,7,4",75
"2016,7,5",75.9493670886076
"2016,7,8",75.3246753246753
"2016,7,9",75.3246753246753
"2016,7,10",76.3157894736842
"2016,7,11",76.3157894736842
"2016,7,12",75.3424657534247
"2016,7,15",74.6478873239437
"2016,7,16",72.2222222222222
"2016,7,17",69.8630136986301
"2016,7,18",68.5714285714286
"2016,7,19",68.1159420289855
"2016,7,22",65.9574468085106
"2016,7,23",65.8536585365854
"2016,7,24",67.5675675675676
"2016,7,25",65.7894736842105
"2016,7,26",62.8571428571429
"2016,7,29",62.8571428571429
"2016,7,30",62.8571428571429
"2016,7,31",61.7647058823529
"2016,8,1",61.2903225806452
"2016,8,2",61.2903225806452
"2016,8,6",61.7647058823529
"2016,8,7",73.469387755102
"2016,8,8",74.0740740740741
"2016,8,9",75.8064516129032
"2016,8,12",73.5294117647059
"2016,8,13",73.134328358209
"2016,8,14",73.8461538461538
"2016,8,15",74.2424242424242
"2016,8,16",68.6046511627907
"2016,8,19",70.5263157894737
"2016,8,20",73.1182795698925
"2016,8,21",73.0337078651685
"2016,8,22",72.4137931034483
"2016,8,23",73.2558139534884
"2016,8,26",74.1176470588235
"2016,8,27",73.8095238095238
"2016,8,28",74.390243902439
"2016,8,29",74.0740740740741
"2016,8,30",74.390243902439
"2016,9,3",74.0740740740741
"2016,9,4",73.1707317073171
"2016,9,5",73.4939759036145
"2016,9,6",73.8095238095238
"2016,9,7",74.6835443037975
"2016,9,10",71.6417910447761
"2016,9,11",71.875
"2016,9,12",70.6896551724138
"2016,9,13",69.811320754717
"2016,9,14",70.3703703703704
"2016,9,17",70.9090909090909
"2016,9,18",67.1232876712329
"2016,9,19",79.4520547945205
"2016,9,20",81.8181818181818
"2016,9,21",80.5970149253731
"2016,9,24",79.7101449275362
"2016,9,25",80.5555555555556
"2016,9,26",80
"2016,9,27",80.2631578947368
"2016,9,28",80.2631578947368
"2016,9,31",80.7692307692308
"2016,10,1",80.5194805194805
"2016,10,2",80.2631578947368
"2016,10,3",81.0126582278481
"2016,10,4",82.051282051282
"2016,10,7",82.5
"2016,10,8",81.25
"2016,10,9",81.25
"2016,10,10",80.2631578947368
"2016,10,11",79.7297297297297
"2016,10,14",78.0821917808219
"2016,10,15",81.8181818181818
"2016,10,16",81.8181818181818
"2016,10,17",80.9523809523809
"2016,10,18",87.5
"2016,10,21",84.4444444444444
"2016,10,22",82.9268292682927
"2016,10,23",84.2105263157895
"2016,10,25",86.1111111111111
"2016,10,28",85.2941176470588
"2016,10,29",82.8571428571429
"2016,10,30",82.3529411764706
"2016,11,1",82.3529411764706
"2016,11,2",79.4117647058823
"2016,11,5",69.2307692307692
"2016,11,6",70.7317073170732
"2016,11,7",68.0851063829787
"2016,11,8",67.3469387755102
"2016,11,9",66.6666666666667
"2016,11,12",66.0377358490566
"2016,11,13",66.0714285714286
"2016,11,14",68.1818181818182
"2016,11,15",69.1176470588235
"2016,11,16",71.4285714285714
"2016,11,19",68.75
"2016,11,20",67.741935483871
"2016,11,21",66.0377358490566
"2016,11,22",66.0377358490566
"2016,11,23",65.3846153846154
"2016,11,27",65.3846153846154
"2016,11,28",62.962962962963
"2016,11,29",62.962962962963
"2016,11,30",62.2641509433962
"2017,0,3",70.7692307692308
"2017,0,4",73.2394366197183
"2017,0,5",72.6027397260274
"2017,0,6",72.972972972973
"2017,0,9",79.1666666666667
"2017,0,10",78.8732394366197
"2017,0,11",79.6875
"2017,0,12",80.6451612903226
"2017,0,13",80
"2017,0,17",83.3333333333333
"2017,0,18",84.3137254901961
"2017,0,19",80
"2017,0,20",75.5102040816327
"2017,0,23",74.468085106383
"2017,0,24",73.469387755102
"2017,0,25",74
"2017,0,26",74.1935483870968
"2017,0,27",70
"2017,0,30",72.093023255814
"2017,0,31",70.4545454545455
"2017,1,1",72.4137931034483
"2017,1,2",72.7272727272727
"2017,1,3",73.0337078651685
"2017,1,6",72.289156626506
"2017,1,7",68.75
"2017,1,8",70.9302325581395
"2017,1,9",72.7272727272727
"2017,1,10",70.6521739130435
"2017,1,13",70.1030927835052
"2017,1,14",70.5263157894737
"2017,1,15",71.1340206185567
"2017,1,16",71.1340206185567
"2017,1,17",70.7070707070707
"2017,1,21",71
"2017,1,22",73.469387755102
"2017,1,23",73.6842105263158
"2017,1,24",73.4042553191489
"2017,1,27",73.6842105263158
"2017,1,28",72.3809523809524
"2017,2,1",71.4285714285714
"2017,2,2",75.3086419753086
"2017,2,3",74.025974025974
"2017,2,6",77.7777777777778
"2017,2,7",77.7777777777778
"2017,2,8",77.6470588235294
"2017,2,9",78.1609195402299
"2017,2,10",74.6835443037975
"2017,2,13",73.109243697479
"2017,2,14",73.3333333333333
"2017,2,15",70.5426356589147
"2017,2,16",72
"2017,2,17",72.2689075630252
"2017,2,20",73.4375
"2017,2,21",70.7692307692308
"2017,2,22",70.9923664122137
"2017,2,23",73.1884057971014
"2017,2,24",73.5714285714286
"2017,2,27",72.6618705035971
"2017,2,28",72.1428571428571
"2017,2,29",72.3404255319149
"2017,2,30",72.463768115942
"2017,2,31",73.4375
"2017,3,3",74.4
"2017,3,4",73.4375
"2017,3,5",73.6434108527132
"2017,3,6",70.8661417322835
"2017,3,7",70
"2017,3,10",69.2913385826772
"2017,3,11",70.6766917293233
"2017,3,12",70.6766917293233
"2017,3,13",72.2222222222222
"2017,3,17",71.4285714285714
"2017,3,18",73.972602739726
"2017,3,19",68.9189189189189
"2017,3,20",67.5324675324675
"2017,3,21",64.2857142857143
"2017,3,24",64.7058823529412
"2017,3,25",64.2857142857143
"2017,3,26",58.4615384615385
"2017,3,27",59.4936708860759
"2017,3,28",60.7142857142857
"2017,4,1",62.0689655172414
"2017,4,2",63.4408602150538
"2017,4,3",64.5833333333333
"2017,4,4",66.3366336633663
"2017,4,5",66.3366336633663
"2017,4,8",67.6470588235294
"2017,4,9",67.6470588235294
"2017,4,10",68
"2017,4,11",68.3168316831683
"2017,4,12",69.3069306930693
"2017,4,15",66.6666666666667
"2017,4,16",68.2692307692308
"2017,4,17",69.2982456140351
"2017,4,18",67.2566371681416
"2017,4,19",67.8571428571429
"2017,4,22",69.0909090909091
"2017,4,23",70.0934579439252
"2017,4,24",70.4761904761905
"2017,4,25",72.5490196078431
"2017,4,26",72.7272727272727
"2017,4,30",73.6842105263158
"2017,4,31",74.3589743589744
"2017,5,1",75
"2017,5,2",76.9230769230769
